STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
72584693201,1/1/2021,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,23.1,16,18.8,16,9999.9,0,821.9,8,6.3,16,0.2,16,4.1,999.9,35.6,*,5.9,*,0,I,5.1,100000
72584693201,1/2/2021,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,32.6,22,25.4,22,9999.9,0,822.3,22,10,22,4.2,22,12,15.9,42.8,*,21.9,*,0,I,3.9,0
72584693201,1/3/2021,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,35.9,24,30.1,24,9999.9,0,822.9,24,10,24,3.3,24,12,22,44.1, ,19.9, ,99.99, ,2,10000
72584693201,1/4/2021,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,35,24,31.2,24,9999.9,0,820.1,24,8.5,24,7.7,24,26,31.1,44.1, ,26.1, ,99.99, ,1.2,10000
72584693201,1/5/2021,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,28.5,24,22.3,24,9999.9,0,822.9,24,9.3,24,3.7,24,19,34,44.6,*,15.8,*,99.99, ,1.2,1000
72584693201,1/6/2021,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,27.9,24,19.2,24,9999.9,0,824.4,24,10,24,2.6,24,14,27,46.4,*,14.9,*,0,I,2,100000
72584693201,1/7/2021,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,26.3,22,18.8,22,9999.9,0,824.9,22,10,22,1.4,22,4.1,999.9,42.8,*,12.2,*,0,I,2,0
72584693201,1/8/2021,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,30.6,23,22.5,23,9999.9,0,823.4,23,10,23,3.7,23,15.9,22.9,42.8,*,19.4,*,0,I,999.9,0
72584693201,1/9/2021,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,26.5,24,21.1,24,9999.9,0,825.7,23,8.4,24,0.6,24,7,999.9,45, ,12.9, ,0,I,2,100000
72584693201,1/10/2021,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,29.2,24,22.3,24,9999.9,0,825,24,10,24,1.4,24,8,999.9,44.6,*,17.6,*,0,I,999.9,0
72584693201,1/11/2021,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,30.2,23,25.2,23,9999.9,0,825.8,23,9.3,23,0.7,23,7,999.9,50,*,18,*,0,I,999.9,100000
72584693201,1/12/2021,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,35.5,23,23,23,9999.9,0,825.3,23,10,23,2.3,23,8.9,999.9,51.1, ,18, ,0,I,999.9,0
72584693201,1/13/2021,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,40.9,23,34.1,23,9999.9,0,828.8,23,10,23,3.8,23,9.9,17.1,52, ,28.9, ,99.99, ,999.9,10000
72584693201,1/14/2021,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,31,22,26,22,9999.9,0,831.8,22,6.2,22,0.3,22,4.1,999.9,55.4,*,12.2,*,0,I,1.2,100000
72584693201,1/15/2021,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,33,21,24.3,21,9999.9,0,831.6,21,10,21,1,21,8.9,999.9,59,*,19.9,*,0,I,999.9,0
