STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
72584693201,1/28/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,34.2,23,25.3,23,9999.9,0,825.5,23,10,23,3.9,23,13,22,43, ,25, ,0,I,999.9,0
72584693201,1/29/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,27.4,24,20.5,24,9999.9,0,825.4,24,10,24,0.8,24,7,999.9,44.6,*,15.8,*,0,I,999.9,100000
72584693201,1/30/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,34.9,22,27.5,22,9999.9,0,825.2,20,10,22,0.7,22,4.1,999.9,50,*,28.4,*,99.99, ,999.9,11000
72584693201,1/31/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,33.6,22,28.7,22,9999.9,0,829.2,22,5.9,22,0.6,22,5.1,999.9,60.8,*,23,*,0,I,999.9,100000
72584693201,2/1/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,30.3,20,25.2,20,9999.9,0,831.1,20,10,20,0.6,20,9.9,15,57.2,*,17.6,*,0,I,999.9,100000
72584693201,2/2/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,34,21,18.5,21,9999.9,0,820.2,21,9.6,21,5.2,21,21,29.9,55.4,*,26.6,*,99.99, ,999.9,1000
72584693201,2/3/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,15.6,22,9.1,22,9999.9,0,816.4,21,9.6,22,3.1,21,20,26,26.6,*,3.2,*,99.99, ,1.2,1000
72584693201,2/4/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,14.6,22,0,22,9999.9,0,821.2,22,10,22,3.4,22,12,18.1,30.2,*,3.2,*,0,I,999.9,0
72584693201,2/5/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,26.6,24,14.5,24,9999.9,0,824.5,24,10,24,2,24,8.9,17.1,46.4,*,12.2,*,0,I,999.9,0
72584693201,2/6/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,31.8,22,25.7,21,9999.9,0,824.8,22,7.4,22,1,22,9.9,15,53.6,*,21,*,0,I,999.9,100000
72584693201,2/7/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,32.3,23,17.8,23,9999.9,0,824,23,10,23,0.7,23,5.1,999.9,57.2,*,17.6,*,0,I,999.9,0
72584693201,2/8/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,34.4,23,19.8,23,9999.9,0,820.3,22,10,23,4.1,23,15.9,20,57.9, ,16, ,0,I,999.9,0
72584693201,2/9/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,30,23,16,23,9999.9,0,818.3,23,10,23,12.7,23,24.1,29.9,53.1, ,19.9, ,0,I,999.9,0
72584693201,2/10/2020,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,28,24,11.7,24,9999.9,0,822.4,24,10,24,5.6,24,18.1,28,48.2,*,12.2,*,0,I,999.9,0
