STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
72584693201,1/1/2019,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,17.3,23,5.9,23,9999.9,0,821.5,22,10,23,5.5,23,13,17.1,30.2,*,3.2,*,0,I,999.9,0
72584693201,1/2/2019,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,20.5,24,11.2,24,9999.9,0,824.5,24,10,24,1.3,24,6,999.9,42.8,*,5,*,0,I,999.9,0
72584693201,1/3/2019,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,26.8,22,18.2,22,9999.9,0,824.3,22,10,22,0.7,22,5.1,999.9,51.8,*,14,*,0,I,999.9,0
72584693201,1/4/2019,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,30.4,22,21,22,9999.9,0,819.5,21,10,22,1.4,22,11.1,999.9,53.1, ,12.9, ,0,I,999.9,0
72584693201,1/5/2019,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,31.2,23,18.7,23,9999.9,0,811.7,22,9.3,23,7,23,29.9,40,54, ,14, ,99.99, ,999.9,11000
72584693201,1/6/2019,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,29.5,22,25.5,22,9999.9,0,810.3,22,3.5,21,10,22,18.1,27,43, ,19, ,99.99, ,7.1,1000
72584693201,1/7/2019,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,35.1,17,31.2,17,9999.9,0,812.5,17,6.2,17,9.8,17,20,35,39.2,*,32,*,99.99, ,11.8,11000
72584693201,1/8/2019,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,33,22,31.3,22,9999.9,0,821.9,22,5.8,22,0.7,22,7,999.9,44.6,*,28.4,*,0,I,9.1,100000
72584693201,1/9/2019,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,38.1,22,31.9,22,9999.9,0,817.3,22,9.1,22,9.6,22,22,34,46, ,30, ,99.99, ,5.1,10000
72584693201,1/10/2019,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,32,24,28.6,24,9999.9,0,821.4,20,7.3,24,1.7,24,9.9,17.1,42.8,*,21.2,*,99.99, ,5.1,110000
72584693201,1/11/2019,39.32,-120.13944,1798.3,TRUCKEE AIRPORT - CA US,23.9,23,22,21,9999.9,0,820.5,23,4.5,23,0.3,23,4.1,999.9,33.8,*,14.9,*,0,I,3.9,100000
